Date Last Researched,Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL
2023-07-25,Japan,Ohi nuclear power plant,4,,,1180.0,operating,pressurized water reactor,M (4-loop),1993.0,,,,1988-06-13 00:00:00,1992-05-28 00:00:00,1992-06-19 00:00:00,1993-02-02 00:00:00,,Kansai Electric Power CO,,Kansai Electric Power CO,,1127.0,1127.0,3423.0,35.5424,135.6544,exact,,Ooi County,,,Eastern Asia,Asia,L500066,G500113,https://gem.wiki/Ohi_nuclear_power_plant
2023-07-25,Japan,Ohma nuclear power plant,1,,,1383.0,construction,boiling water reactor,ABWR,2026.0,,,,2010-05-07 00:00:00,,,,,Electric Power Development CO LTD,,Electric Power Development CO LTD,,1328.0,1328.0,3926.0,41.5099,140.9131,exact,,Shimokita County,,,Eastern Asia,Asia,L500020,G500036,https://gem.wiki/Ohma_nuclear_power_plant
2023-08-31,Japan,Ohma nuclear power plant,Original,,,600.0,cancelled,unknown,unknown,,,,1995.0,,,,,,Electric Power Development CO LTD,,,,,,,41.5099,140.9131,exact,,Shimokita County,,,Eastern Asia,Asia,L500020,G501217,https://gem.wiki/Ohma_nuclear_power_plant
2023-07-25,Japan,Onagawa nuclear power plant,1,,,524.0,retired,boiling water reactor,BWR-4,1984.0,2018.0,N,,1980-07-08 00:00:00,1983-10-18 00:00:00,1983-11-18 00:00:00,1984-06-01 00:00:00,2018-12-21 00:00:00,Tohoku Electric Power CO INC,,Tohoku Electric Power CO INC,,498.0,498.0,1593.0,38.3987,141.5003,exact,,Oshika County,,,Eastern Asia,Asia,L500157,G500437,https://gem.wiki/Onagawa_nuclear_power_plant
2023-07-25,Japan,Onagawa nuclear power plant,2,,,825.0,mothballed,boiling water reactor,BWR-5,1995.0,,,,1991-04-12 00:00:00,1994-11-02 00:00:00,1994-12-23 00:00:00,1995-07-28 00:00:00,,Tohoku Electric Power CO INC,,Tohoku Electric Power CO INC,,796.0,796.0,2436.0,38.3987,141.5003,exact,,Oshika County,,,Eastern Asia,Asia,L500157,G500363,https://gem.wiki/Onagawa_nuclear_power_plant
2023-07-25,Japan,Onagawa nuclear power plant,3,,,825.0,mothballed,boiling water reactor,BWR-5,2002.0,,,,1998-01-23 00:00:00,2001-04-26 00:00:00,2001-05-30 00:00:00,2002-01-30 00:00:00,,Tohoku Electric Power CO INC,,Tohoku Electric Power CO INC,,796.0,796.0,2436.0,38.3987,141.5003,exact,,Oshika County,,,Eastern Asia,Asia,L500157,G500364,https://gem.wiki/Onagawa_nuclear_power_plant
2023-07-25,Japan,Sendai nuclear power plant,1,,,890.0,operating,pressurized water reactor,M (3-loop),1984.0,,,,1979-12-15 00:00:00,1983-08-25 00:00:00,1983-09-16 00:00:00,1984-07-04 00:00:00,,Kyushu Electric Power CO INC,,Kyushu Electric Power CO INC,,846.0,846.0,2660.0,31.8335,130.1887,exact,Satsumasendai,,,,Eastern Asia,Asia,L500145,G500329,https://gem.wiki/Sendai_nuclear_power_plant
2023-07-25,Japan,Sendai nuclear power plant,2,,,890.0,operating,pressurized water reactor,M (3-loop),1985.0,,,,1981-10-12 00:00:00,1985-03-18 00:00:00,1985-04-05 00:00:00,1985-11-28 00:00:00,,Kyushu Electric Power CO INC,,Kyushu Electric Power CO INC,,846.0,846.0,2660.0,31.8335,130.1887,exact,Satsumasendai,,,,Eastern Asia,Asia,L500145,G500330,https://gem.wiki/Sendai_nuclear_power_plant
2023-07-25,Japan,Sendai nuclear power plant,3,,,1590.0,shelved,pressurized water reactor,Mitsubishi advanced pressurized water reactor (APWR),,,,,,,,,,Kyushu Electric Power CO INC,,Kyushu Electric Power CO INC,,,1590.0,4466.0,31.8336,130.1894,exact,Satsumasendai,,,,Eastern Asia,Asia,L500145,G500620,https://gem.wiki/Sendai_nuclear_power_plant
2023-07-25,Japan,Shika nuclear power plant,1,,,540.0,mothballed,boiling water reactor,BWR-5,1993.0,,,,1989-07-01 00:00:00,1992-11-20 00:00:00,1993-01-12 00:00:00,1993-07-30 00:00:00,,Hokuriku Electric Power CO,,Hokuriku Electric Power CO,,505.0,505.0,1593.0,37.0609,136.7265,exact,,Hakui County,,,Eastern Asia,Asia,L500019,G500438,https://gem.wiki/Shika_nuclear_power_plant
2023-07-25,Japan,Shika nuclear power plant,2,,,1206.0,mothballed,boiling water reactor,ABWR,2006.0,,,,2001-08-20 00:00:00,2005-05-26 00:00:00,2005-07-04 00:00:00,2006-03-15 00:00:00,,Hokuriku Electric Power CO,,Hokuriku Electric Power CO,,1108.0,1304.0,3926.0,37.0609,136.7265,exact,,Hakui County,,,Eastern Asia,Asia,L500019,G500035,https://gem.wiki/Shika_nuclear_power_plant
2023-07-25,Japan,Shimane nuclear power plant,1,,,460.0,retired,boiling water reactor,BWR-3,1974.0,2015.0,N,,1970-07-02 00:00:00,1973-06-01 00:00:00,1973-12-02 00:00:00,1974-03-29 00:00:00,2015-04-30 00:00:00,Chugoku Electric Power CO,,The Chugoku Electric Power CO INC,,439.0,439.0,1380.0,35.5383,132.9992,exact,Matsue,,,,Eastern Asia,Asia,L500021,G500471,https://gem.wiki/Shimane_nuclear_power_plant
2023-07-25,Japan,Shimane nuclear power plant,2,,,820.0,mothballed,boiling water reactor,BWR-5,1989.0,,,,1985-02-02 00:00:00,1988-05-25 00:00:00,1988-07-11 00:00:00,1989-02-10 00:00:00,,Chugoku Electric Power CO,,Chugoku Electric Power CO,,789.0,789.0,2436.0,35.5383,132.9992,exact,Matsue,,,,Eastern Asia,Asia,L500021,G500365,https://gem.wiki/Shimane_nuclear_power_plant
2023-07-25,Japan,Shimane nuclear power plant,3,,,1373.0,construction,boiling water reactor,ABWR,,,,,2006-10-24 00:00:00,,,,,Chugoku Electric Power CO,,Chugoku Electric Power CO,,1325.0,1325.0,3926.0,35.5383,132.9992,exact,Matsue,,,,Eastern Asia,Asia,L500021,G500037,https://gem.wiki/Shimane_nuclear_power_plant
2023-07-31,Japan,Takahama nuclear power plant,1,,,826.0,operating,pressurized water reactor,M (3-loop),1974.0,,,,1970-04-25 00:00:00,1974-03-14 00:00:00,1974-03-27 00:00:00,1974-11-14 00:00:00,,Kansai Electric Power CO,,Kansai Electric Power CO,,780.0,780.0,2440.0,35.5223,135.5036,exact,,Ooi County,,,Eastern Asia,Asia,L500147,G500358,https://gem.wiki/Takahama_nuclear_power_plant
2023-09-22,Japan,Takahama nuclear power plant,2,,,826.0,operating,pressurized water reactor,M (3-loop),1975.0,,,,1971-03-09 00:00:00,1974-12-20 00:00:00,1975-01-17 00:00:00,1975-11-14 00:00:00,,Kansai Electric Power CO,,Kansai Electric Power CO,,780.0,780.0,2440.0,35.5223,135.5036,exact,,Ooi County,,,Eastern Asia,Asia,L500147,G500359,https://gem.wiki/Takahama_nuclear_power_plant
2023-07-25,Japan,Takahama nuclear power plant,3,,,870.0,operating,pressurized water reactor,M (3-loop),1985.0,,,,1980-12-12 00:00:00,1984-04-17 00:00:00,1984-05-09 00:00:00,1985-01-17 00:00:00,,Kansai Electric Power CO,,Kansai Electric Power CO,,830.0,830.0,2660.0,35.5223,135.5036,exact,,Ooi County,,,Eastern Asia,Asia,L500147,G500332,https://gem.wiki/Takahama_nuclear_power_plant
2023-07-25,Japan,Takahama nuclear power plant,4,,,870.0,operating,pressurized water reactor,M (3-loop),1985.0,,,,1981-03-19 00:00:00,1984-10-11 00:00:00,1984-11-01 00:00:00,1985-06-05 00:00:00,,Kansai Electric Power CO,,Kansai Electric Power CO,,830.0,830.0,2660.0,35.5223,135.5036,exact,,Ooi County,,,Eastern Asia,Asia,L500147,G500333,https://gem.wiki/Takahama_nuclear_power_plant
2023-07-25,Japan,Tokai nuclear power plant,1,,,166.0,retired,gas-cooled reactor,MAGNOX,1966.0,1998.0,N,,1961-03-01 00:00:00,1965-05-04 00:00:00,1965-11-10 00:00:00,1966-07-25 00:00:00,1998-03-31 00:00:00,Japan Atomic Power CO,,Japan Atomic Power CO,,137.0,159.0,587.0,36.4215,140.6028,exact,Hitachinaka,,,,Eastern Asia,Asia,L500078,G500560,https://gem.wiki/Tokai_nuclear_power_plant
2023-07-25,Japan,Tokai nuclear power plant,2,,,1100.0,mothballed,boiling water reactor,BWR-5,1978.0,,,,1973-10-03 00:00:00,1978-01-18 00:00:00,1978-03-13 00:00:00,1978-11-28 00:00:00,,Japan Atomic Power CO,,Japan Atomic Power CO,,1060.0,1056.0,3293.0,36.4215,140.6028,exact,Hitachinaka,,,,Eastern Asia,Asia,L500078,G500138,https://gem.wiki/Tokai_nuclear_power_plant
2023-07-25,Japan,Tomari nuclear power plant,1,,,579.0,mothballed,pressurized water reactor,M (2-loop),1989.0,,,,1985-04-18 00:00:00,1988-11-16 00:00:00,1988-12-06 00:00:00,1989-06-22 00:00:00,,Hokkaido Electric Power CO INC,,Hokkaido Electric Power CO INC,,550.0,550.0,1650.0,43.0367,140.5125,exact,,Furuu County,,,Eastern Asia,Asia,L500144,G500432,https://gem.wiki/Tomari_nuclear_power_plant
2023-07-25,Japan,Tomari nuclear power plant,2,,,579.0,mothballed,pressurized water reactor,M (2-loop),1991.0,,,,1985-06-13 00:00:00,1990-07-25 00:00:00,1990-08-27 00:00:00,1991-04-12 00:00:00,,Hokkaido Electric Power CO INC,,Hokkaido Electric Power CO INC,,550.0,550.0,1650.0,43.0367,140.5125,exact,,Furuu County,,,Eastern Asia,Asia,L500144,G500433,https://gem.wiki/Tomari_nuclear_power_plant
2023-07-25,Japan,Tomari nuclear power plant,3,,,912.0,mothballed,pressurized water reactor,M (3-loop),2009.0,,,,2004-11-18 00:00:00,2009-03-03 00:00:00,2009-03-20 00:00:00,2009-12-22 00:00:00,,Hokkaido Electric Power CO INC,,Hokkaido Electric Power CO INC,,866.0,866.0,2660.0,43.0367,140.5125,exact,,Furuu County,,,Eastern Asia,Asia,L500144,G500328,https://gem.wiki/Tomari_nuclear_power_plant
